id,title,type,category,url,thumbnail,artist,description
v1767026483147,mvm charla,video,Entrevistas,https://youtu.be/hJz3NaeDRTA?si=iGS46QD3wBN_ms15,https://img.youtube.com/vi/hJz3NaeDRTA/maxresdefault.jpg,@mujerdevisionymision,mvm charla
v01,Transmisión en Vivo - fv5oKEex5mM,video,Entrevistas,https://www.youtube.com/live/fv5oKEex5mM?si=dDAdLmtTWqYexLaK,https://img.youtube.com/vi/fv5oKEex5mM/maxresdefault.jpg,Karla Perdomo Andrade,Video en vivo del canal Mujer de Visión y Misión.
v02,Transmisión en Vivo - Sc3NYykG-Wg,video,Entrevistas,https://www.youtube.com/live/Sc3NYykG-Wg?si=Qfj-5SVcwcIrkk1H,https://img.youtube.com/vi/Sc3NYykG-Wg/maxresdefault.jpg,Karla Perdomo Andrade,Video en vivo del canal Mujer de Visión y Misión.
v03,Transmisión en Vivo - qbhADIvbrBs,video,Entrevistas,https://www.youtube.com/live/qbhADIvbrBs?si=NG2JYPYHDt2pfqr0,https://img.youtube.com/vi/qbhADIvbrBs/maxresdefault.jpg,Karla Perdomo Andrade,Video en vivo del canal Mujer de Visión y Misión.
v04,Transmisión en Vivo - 4hvZ11J8aQI,video,Entrevistas,https://www.youtube.com/live/4hvZ11J8aQI?si=pADKWsJSenC7BM3B,https://img.youtube.com/vi/4hvZ11J8aQI/maxresdefault.jpg,Karla Perdomo Andrade,Video en vivo del canal Mujer de Visión y Misión.
v1767041095173,aaa,video,Reflexión,https://www.youtube.com/live/fj_OXbFoLqg?si=DswkBVcyHPES1CQY,https://img.youtube.com/vi/fj_OXbFoLqg/maxresdefault.jpg,Brandon Lake,aaaaaaaaaaaa
v1767041162077,bbbbbbb,video,Momentos,https://www.youtube.com/live/JNh-VILhFRE?si=AKuf63IGmpeAQI_s,https://img.youtube.com/vi/JNh-VILhFRE/maxresdefault.jpg,Brandon Lake,bbbbbbbbbbbbb bbbbbbbbb
v1767041221800,ccccccccc,video,Momentos,https://www.youtube.com/live/2Fj4TFQ_fTE?si=QmapBbKPDtFq6oVe,https://img.youtube.com/vi/2Fj4TFQ_fTE/maxresdefault.jpg,Brandon Lake,cccccccccccc
v1767041277864,mmmmmmmm,video,Entrevistas,https://youtube.com/shorts/cOe8PFbJCFo?si=IHPsz1EoDLGEw6Uj,https://img.youtube.com/vi/cOe8PFbJCFo/maxresdefault.jpg,Brandon Lake,mmmmmmmmmm mmmmmmmmmmm
v1767041308609,mmmm,video,Reflexión,https://youtube.com/shorts/Chmj74nfFMw?si=9fdZ8gj3Fy-IRgd_,https://img.youtube.com/vi/Chmj74nfFMw/maxresdefault.jpg,Brandon Lake,mmmm  hhhh
v1767041374565,kkk,video,Reflexión,https://youtu.be/hJz3NaeDRTA?si=nDxgEBuwegPGYlXh,https://img.youtube.com/vi/hJz3NaeDRTA/maxresdefault.jpg,EnCanto Radio,kkk
v1767041440086,k,video,Musica,https://www.youtube.com/live/4hvZ11J8aQI?si=6J2qd0zptef1xMXh,https://img.youtube.com/vi/4hvZ11J8aQI/maxresdefault.jpg,Brandon Lake,kkkkk
v1767041471188,ooo,video,Musica,https://youtu.be/Kl1U2G2wNAo?si=-YlwwOtqv9gN_m5H,https://img.youtube.com/vi/Kl1U2G2wNAo/maxresdefault.jpg,Brandon Lake,ooooooooooo
